Atraid 0610007C21Rik
Lypd8 2210415F13Rik
Rep15 2210417D09Rik
Crct1 2300002G24Rik
Asprv1 2300003P22Rik
Apmap 2310001A20Rik
Zfp932 2310001H12Rik
Cysrt1 2310002J15Rik
Hypk 2310003F16Rik
Faap100 2310003H01Rik
Ndufaf5 2310003L22Rik
Adprm 2310004I24Rik
Dmac2 2310004L02Rik
Ten1 2310004N24Rik
Akr1b10 2310005E10Rik
Cox20 2310005N03Rik
Eepd1 2310005P05Rik
Aagab 2310007F21Rik
Lhpp 2310007H09Rik
Spidr 2310008H04Rik
Knop1 2310008H09Rik
Ostc 2310008M10Rik
Fggy 2310009E04Rik
Chmp4c 2310010I16Rik
Ppp1r18 2310014H01Rik
Rnf225 2310014L17Rik
Mrln 2310015B20Rik
Ttc28 2310015L07Rik
Ccdc90b 2310015N07Rik
Hilpda 2310016C08Rik
Gpx8 2310016C16Rik
Ost4 2310016E02Rik
Apol9b 2310016F22Rik
Cox14 2310016M24Rik
Psapl1 2310020A21Rik
Haus5 2310022K01Rik
Fam89a 2310031A18Rik
Ap5s1 2310035K24Rik
Pdxk 2310036D04Rik
Trir 2310036O22Rik
Kansl2 2310037I24Rik
Mettl21a 2310038H17Rik
Cavin4 2310039E09Rik
Fam83g 2310040C09Rik
Teddm3 2310042E22Rik
Prelid3b 2310042G06Rik
Ccdc134 2310042L06Rik
Krtap1-5 2310043L02Rik
Cipc 2310044G17Rik
Emc10 2310044H10Rik
Sel1l3 2310045A20Rik
Borcs8 2310045N01Rik
Slc52a3 2310046K01Rik
Swsap1 2310047B19Rik
Borcs6 2310047M10Rik
Mindy3 2310047O13Rik
Ctsll3 2310051M13Rik
Fam162a 2310056P07Rik
Enoph1 2310057D15Rik
Cmc2 2310061C15Rik
Ripor1 2310066E14Rik
Tmem94 2310067B10Rik
Plin5 2310076L09Rik
Trmt44 2310079F23Rik
Ntpcr 2310079N02Rik
Lamtor1 2400001E08Rik
Ist1 2400003C14Rik
Suds3 2400003N08Rik
Rangrf 2400006H24Rik
Lmf1 2400010G15Rik
Rtf2 2410001C21Rik
Tepsin 2410002I01Rik
Trappc13 2410002O22Rik
Nsmce4a 2410003A14Rik
Tdrd12 2410004F06Rik
Haus8 2410004L22Rik
Rmdn1 2410005O16Rik
Zswim7 2410012H22Rik
Mlec 2410014A08Rik
Dctpp1 2410015N17Rik
Gtf3c6 2410016F19Rik
Riox1 2410016O06Rik
Cep57l1 2410017P07Rik
Fam53a 2410018C17Rik
Mri1 2410018C20Rik
Gm3336 2410018E23Rik
Mzt2 2410018G20Rik
Zbed5 2410018M08Rik
Coprs 2410022L05Rik
Atg2b 2410024A21Rik
Katnbl1 2410042D21Rik
Mturn 2410066E13Rik
Ccdc166 2410075B13Rik
Zbtb8a 2410081M15Rik
Ndufaf7 2410091C18Rik
Puf60 2410104I19Rik
Gtsf1l 2410116G06Rik
Acer2 2410116I05Rik
Carnmt1 2410127L17Rik
Mtfr1l 2410166I05Rik
Tmem185b 2500001K11Rik
Rnf181 2500002L14Rik
Chtop 2500003M10Rik
Eef1akmt1 2510005D08Rik
Chac2 2510006C20Rik
Tmem234 2510006D16Rik
Rwdd3 2510027J23Rik
Ttc30b 2510042P03Rik
Ccdc159 2510048L02Rik
Lsm12 2600001B17Rik
Afap1 2600003E23Rik
Rrp1b 2600005C20Rik
Arl16 2600005N12Rik
Dscc1 2600005O03Rik
Ddrgk1 2600009E05Rik
Rbm25 2600011C06Rik
Mfsd11 2600014M03Rik
Faap20 2610002J02Rik
Jmjd8 2610003J06Rik
Mrto4 2610012O22Rik
Ccdc191 2610015P09Rik
Mtfr2 2610016C23Rik
Pantr1 2610017I09Rik
Stk26 2610018G03Rik
Strada 2610019A05Rik
Tdrp 2610019F03Rik
Rexo5 2610020H08Rik
Nkap 2610020O08Rik
Noa1 2610024G14Rik
Pinx1 2610028A01Rik
Arpin 2610034B18Rik
Accs 2610203E10Rik
Atad3aos 2610204G22Rik
Ccdc47 2610204L23Rik
Zfp979 2610305D13Rik
Prelid1 2610524G07Rik
Hpf1 2700029M09Rik
Edrf1 2700050L05Rik
Rtraf 2700060E02Rik
Smc2os 2700081L22Rik
Smim10l1 2700089E24Rik
Fam53c 2810012G03Rik
L3hypdh 2810055F11Rik
Rnf216 2810055G22Rik
Selenot 2810407C02Rik
Dpy30 2810410M20Rik
Pclaf 2810417H13Rik
Rex1bd 2810428I15Rik
Cinp 2810452K22Rik
Pot1b 2810458H16Rik
Ankrd12 2900001A12Rik
Tppp 2900041A09Rik
Hepacam 2900042E01Rik
Mrnip 3010026O09Rik
Pear1 3110045G13Rik
Nwd2 3110047P20Rik
Zfp983 3110052M02Rik
Abhd18 3110057O12Rik
Vsir 4632428N05Rik
Ddias 4632434I11Rik
Syne3 4831426I19Rik
Idi2 4833405L16Rik
Plppr5 4833424O15Rik
Pdp2 4833426J09Rik
Rictor 4921505C17Rik
Cdkn2aip 4921511I16Rik
Cep162 4922501C03Rik
Zgrf1 4930422G04Rik
Zfp943 4930432O21Rik
Morn3 4930438O03Rik
Pomk 4930444A02Rik
Lrrc74b 4930451C15Rik
Timmdc1 4930455C21Rik
Dnajc21 4930461P20Rik
Etfrf1 4930469P12Rik
Slc35f6 4930471M23Rik
Mindy1 4930504E06Rik
Xpo7 4930506C02Rik
Ttc30a1 4930506L13Rik
Shtn1 4930506M07Rik
Ppp2r3c 4930511A21Rik
Armc12 4930511I11Rik
Tmem114 4930511J11Rik
Zfp672 4930511N19Rik
Rpl39l 4930517K11Rik
Banf2 4930517K23Rik
Ninl 4930519N13Rik
Nxnl2 4930519N16Rik
Tctn3 4930521E07Rik
Cfap61 4930529M08Rik
Tmem269 4930538K18Rik
Spaca6 4930546H06Rik
Eqtn 4930579C15Rik
Prss41 4931440B09Rik
Fam120b 4932442K08Rik
Lipe 4933403G17Rik
Lmntd1 4933403M22Rik
Cfap97 4933411K20Rik
Tex52 4933413G19Rik
Lrif1 4933421E11Rik
Susd6 4933426M11Rik
Cep72 4933440J22Rik
Slain2 5033405K12Rik
Sugct 5033411D12Rik
Dubr 5330426P16Rik
Gpr179 5330439C02Rik
Spaar 5430416O09Rik
Rab7b 5430435G22Rik
Nsa2 5730427N09Rik
Fra10ac1 5730455O13Rik
Ncapg 5730507H05Rik
Fam241a 5730508B09Rik
Ankrd33b 5730557B15Rik
Fbxl12os 5730577I03Rik
Tox4 5730589K01Rik
Fam117a 5730593F17Rik
Notum 5730593N15Rik
Atl3 5730596K20Rik
Teddm2 5830403L16Rik
C2cd2 5830404H04Rik
Nabp1 5830411E10Rik
Avl9 5830411G16Rik
Trmo 5830415F09Rik
Fam133b 5830415L20Rik
Zc3h18 5830416A07Rik
Mirt1 5830416P10Rik
Desi2 5830417C01Rik
Cep295 5830418K08Rik
Caap1 5830433M19Rik
Gbp8 5830443L24Rik
Isy1 5830446M03Rik
Chtf8 5830457O10Rik
Sp110 5830484A20Rik
Rhno1 5930416I19Rik
Cacfd1 5930434B04Rik
B3gntl1 6030413G23Rik
Stum 6330403A02Rik
Zswim9 6330408A02Rik
Tmem268 6330416G13Rik
Smim10l2a 6330419J24Rik
Hjurp 6430706D22Rik
Amz1 6530401C20Rik
Fam234b 8430419L09Rik
Nol4l 8430427H17Rik
Clmp 9030425E11Rik
Dglucy 9030617O03Rik
Spink12 9230117E20Rik
Il33 9230117N10Rik
Maip1 9430016H08Rik
Jcad 9430020K01Rik
Atg101 9430023L20Rik
Creb5 9430076C15Rik
Rab42 9530096D07Rik
Tigar 9630033F20Rik
Slain1 9630044O09Rik
Soga1 9830001H06Rik
Cemip 9930013L23Rik
Tmprss11g 9930032O22Rik
Washc4 A230046K03Rik
Aasdh A230062G08Rik
Spink10 A230091H23Rik
Rbfox1 A2bp1
Cfap69 A330021E22Rik
Pitpnm3 A330068P14Rik
Csrnp3 A330102K23Rik
Ccdc88a A430106J12Rik
Slc35e2 A530082C11Rik
Ccdc186 A630007B06Rik
Nelfb A730008L03Rik
Bclaf3 A830080D01Rik
Sarm1 A830091I15Rik
Frmd5 A930004K21Rik
Mir124a-1hg A930011O12Rik
Frg2f1 AA415398
Zfp729b AA987161
Cd300c2 AF251705
Mfsd4b1 AI317395
Tmem263 AI597468
Vmac AI662250
Ccdc184 AI836003
Inca1 AI842396
Spindoc AI846148
Mir9-3hg AI854517
Cep126 AK129341
Brd9 AL022779
Snd1 AL033314
Ncbp1 AU014645
Stap2 AW049765
Grxcr1 AY616753
Asic2 Accn1
Asic1 Accn2
Asic3 Accn3
Asic4 Accn4
Sdhaf3 Acn9
Pxylp1 Acpl2
Azin2 Adc
Coq8a Adck3
Coq8b Adck4
Grk2 Adrbk1
Grk3 Adrbk2
Gpat4 Agpat6
Gpat3 Agpat9
Mgmt Agt
Crybg1 Aim1
Akr1a1 Akr1a4
Slc35g3 Amac1
Jaml Amica1
Amy2a5 Amy2
Slf1 Ankrd32
Synrg Ap1gbp1
Cenps Apitd1
Naxe Apoa1bp
Pds5b Aprin
Arl4d Arfl4
Manf Armet
Srrt Ars2
Erap1 Arts1
Uba2 Arx
Acer1 Asah3
Acer2 Asah3l
Naaa Asahl
Pgghg Athl1
Gpn2 Atpbd1b
Gpn3 Atpbd1c
Ctu1 Atpbd3
Dph6 Atpbd4
Cep131 Azi1
Evi5l B130050I23Rik
Map3k20 B230120H23Rik
Celrr B230209K01Rik
N4bp2 B3bp
B3glct B3galtl
B3gnt2 B3gnt1
Bmt2 B630005N14Rik
Zmat1 B930008K04Rik
Fndc10 B930041F14Rik
Pik3r6 BB220380
N4bp1 BC004022
Fam20c BC004044
Smagp BC004728
Plppr3 BC005764
Plppr2 BC018242
Ice1 BC018507
Mfsd4b5 BC021785
Tmem185a BC023829
Cryzl2 BC026585
Nepro BC027231
Ticrr BC028450
Fam20a BC029169
Paxx BC029214
Ttc41 BC030307
Mosmo BC030336
Erich5 BC030476
Fam214a BC031353
Fn3krp BC032265
A2ml1 BC048546
Proser3 BC053749
Adig BC054059
Wdr83os BC056474
Gbp9 BC057170
Prr36 BC068157
Wdcp BC068281
Begain BM948371
Adgrb1 Bai1
Adgrb2 Bai2
Adgrb3 Bai3
Nkx3-1 Bax
Mepce Bcdin3
Chil5 Bclp2
Bco1 Bcmo1
Bglap3 Bglap-rs1
Bhlhe40 Bhlhb2
Bhlhe41 Bhlhb3
Bhlhe23 Bhlhb4
Bhlhe22 Bhlhb5
Bhlha15 Bhlhb8
Naip5 Birc1e
Naip6 Birc1f
Xiap Birc4
Cxcr5 Blr1
Bpifb2 Bpil1
Hgh1 Brp16
Mpc1 Brp44l
Ncaph Brrn1
Celf4 Brunol4
Celf6 Brunol6
Wdr11 Brwd2
Zbtb46 Btbd4
Btnl10 Butr1
Rpf2 Bxdc1
Brix1 Bxdc2
Rpf1 Bxdc5
Tspoap1 Bzrap1
Tspo2 Bzrpl1
Ripply2 C030002E08Rik
Gabrb2 C030002O17Rik
Fam118b C030004A17Rik
Nkain4 C030019F02Rik
Parp4 C030027K23Rik
