Atraid 0610007C21Rik
Irf9 Isgf3g
Fam234a Itfg3
Igsf5 Jam4
Kdm5a Jarid1a
Kdm7a Jhdm1d
Ajuba Jub
Kifc1 Kifc5a
Kirrel Kirrel1
Kif2a Kns2
Scn2b LOC214238
Trim40 LOC240093
Afg1l Lace1
Large1 Large
Cers2 Lass2
Rtl6 Ldoc1l
Cnmd Lect1
Mboat7 Leng4
P3h1 Lepre1
P3h2 Leprel1
P3h3 Leprel2
Eif2d Lgtn
Pirb Lilrb3
Lilrb4a Lilrb4
Lin28a Lin28
Neurl3 Lincr
Lins1 Lins2
Lipk Lipl2
Lipm Lipl3
Lnpk Lnp
Borcs5 Loh12cr1
Adgrl1 Lphn1
Adgrl2 Lphn2
Adgrl3 Lphn3
Carmil1 Lrrc16a
Carmil3 Lrrc16b
Mtag2 Mag
Tirap Mal
Mdga2 Mamdc1
Lamtor2 Mapbpip
Nprl3 Mare
Esyt1 Mbc2
Lpcat3 Mboat5
Slc25a51 Mcart1
Mcm9 Mcmdc1
Tpsb2 Mcpt6
Tcf12 Me1
Tcf4 Me2
Meltf Mfi2
Mfsd4a Mfsd4
Flvcr1 Mfsd7b
Flvcr2 Mfsd7c
Mia2 Mgea6
Riox2 Mina
Gde1 Mir16
Hinfp Mizf
Cenpu Mlf1ip
Kmt2a Mll1
Kmt2b Mll2
Kmt2e Mll5
Afdn Mllt4
Foxo4 Mllt7
Far2 Mlstd1
Mms19 Mms19l
Mob3b Mobkl2b
Mob3c Mobkl2c
Mid1 Mpg
Cited2 Mrg1
Cited4 Mrg2
Mrpl57 Mrp63
Msl3 Msl31
Tc2n Mtac2d1
Map1a Mtap1a
Map1b Mtap1b
Map1s Mtap1s
Map2 Mtap2
Mterf1a Mterf
Mterf3 Mterfd1
Mterf4 Mterfd2
Mterf2 Mterfd3
Ppp1r15a Myd116
Cops9 Myeov2
Myl12b Mylc2b
Kat6a Myst3
Kat6b Myst4
Phf24 N28178
Naprt Naprt1
Ice2 Narg2
Nsmce3 Ndnl2
Neurl1a Neurl
Bex3 Ngfrap1
Hcar2 Niacr1
Iscu Nifun
Nop56 Nol5a
Gar1 Nola1
Nop10 Nola3
Nipal2 Npal2
Lcn2 Nrl
Stn1 Obfc1
Nabp2 Obfc2b
Tenm1 Odz1
Tenm4 Odz4
Sebox Og9x
Sigmar1 Oprs1
Mycbp2 Pam
Nampt Pbef1
Chmp1a Pcoln3
Med15 Pcqap
Cdk16 Pctk1
Cdk18 Pctk3
Aifm1 Pdcd8
Gatd1 Pddc1
Pea15a Pea15
Twnk Peo1
Gigyf1 Perq1
Gatb Pet112l
Phgdh Pgd
Cby1 Pgea1
Pigf Pgf
Phlpp1 Phlpp
Mycbp2 Phr1
Inpp5j Pib5pa
Pi4ka Pik4ca
Pip4k2a Pip5k2a
Pip4k2b Pip5k2b
Pip4k2c Pip5k2c
Pikfyve Pip5k3
Bloc1s6 Pldn
Prl7d1 Plfr
Fxyd1 Pml
Plpp1 Ppap2a
Plpp3 Ppap2b
Plpp2 Ppap2c
Plpp4 Ppapdc1a
Plpp6 Ppapdc2
Plpp7 Ppapdc3
Ptpa Ppp2r4
Prkcg Prkcc
Prkd1 Prkcm
Thap12 Prkrir
Prl4a1 Prlpa
Prl6a1 Prlpb
Prl8a6 Prlpc1
Prl8a9 Prlpc2
Prl8a8 Prlpc3
Prl7a1 Prlpe
Prl7a2 Prlpf
Prl3a1 Prlpi
Prl3c1 Prlpj
Prl2b1 Prlpk
Prl5a1 Prlpl
Prl2a1 Prlpm
Prl7c1 Prlpo
Plpbp Prosc
Lonp1 Prss15
Tmprss15 Prss7
Prune1 Prune
Cyth1 Pscd1
Cyth2 Pscd2
Cyth3 Pscd3
Cyth4 Pscd4
Cytip Pscdbp
Psme2b Psme2b-ps
Disp3 Ptchd2
Jmjd6 Ptdsr
Pth1r Pthr1
Twf1 Ptk9
Twf2 Ptk9l
Hacd1 Ptpla
Hacd3 Ptplad1
Hacd4 Ptplad2
Hacd2 Ptplb
Cavin1 Ptrf
Nectin2 Pvr
Nectin1 Pvrl1
Nectin2 Pvrl2
Nectin3 Pvrl3
Nectin4 Pvrl4
Pwp2 Pwp2h
Pwwp2b Pwwp2
Pex2 Pxmp3
Qsox1 Qscn6
Qsox2 Qscn6l1
Qtrt2 Qtrtd1
Ift22 Rabl5
Ipo5 Ranbp5
Rundc3a Rap2ip
Rars2 Rarsl
Elmod3 Rbed1
Mak16 Rbm13
Tut1 Rbm21
Esrp1 Rbm35a
Esrp2 Rbm35b
Rbfox2 Rbm9
Rbmy Rbmy1a1
Rbpj Rbpsuh
Rbpjl Rbpsuhl
Prph2 Rds
Rfc1 Recc1
Cop1 Rfwd2
Trmt10c Rg9mtd1
Trmt10a Rg9mtd2
Trmt10b Rg9mtd3
Rtl5 Rgag4
Arhgef28 Rgnef
Ric8a Ric8
Insl3 Rlf
Rlim Rnf12
Phax Rnuxa
Parp2 Rpph1
Cnot9 Rqcd1
Rsph14 Rtdr1
Snx29 Rundc2a
Sgsm2 Rutbc1
Sgsm1 Rutbc2
Sgsm3 Rutbc3
Rwdd2a Rwdd2
Uimc1 Rxrip110
Bpifb3 Rya3
Plin4 S3-12
Ppp6r1 Saps1
Ppp6r2 Saps2
Ppp6r3 Saps3
Msmo1 Sc4mol
Shisa5 Scotin
Aimp1 Scye1
Cwc27 Sdccag10
Cavin2 Sdpr
Sec11a Sec11l1
Sec11c Sec11l3
Sec31a Sec31l1
Sel1l Sel1h
Selenok Selk
Selenom Selm
Selenof Sep15
Selenon Sepn1
Selenop Sepp1
Selenow Sepw1
Msrb1 Sepx1
Kmt5a Setd8
Nr5a1 Sf1
Srsf2 Sfrs10
Srek1 Sfrs12
Clasrp Sfrs16
Pnisr Sfrs18
Scaf11 Sfrs2ip
Sgk1 Sgk
Sgo2a Sgol2
Sem1 Shfm1
Gemin2 Sip1
Pdgfb Sis
4930447C04Rik Six6os1
Slc8b1 Slc24a6
Prelid3b Slmo2
Hltf Smarca3
Ppp4r3a Smek1
Ppp4r3b Smek2
Smr3a Smr1
Sik2 Snf1lk2
Snrnp70 Snrp70
Sptbn1 Spnb2
Sqor Sqrdl
Ssc4d Srcrb4d
Srms Srm
Lmx1a Sst
Elp2 Statip1
Bhlhe40 Stra13
Zfp280c Suhw3
Zfp280d Suhw4
Supt4a Supt4h1
Med21 Surb7
Med22 Surf5
Kmt5b Suv420h1
Kmt5c Suv420h2
Svs4 Svp2
Svs3a Svs3
Pate4 Svs7
Ptpn11 Syp
Tifa T2bp
Taf4 Taf4a
Taf8 Tbn
Eloc Tceb1
Elob Tceb2
Eloa Tceb3
Hnf1b Tcf2
Tfap4 Tcfap4
Tfe3 Tcfe3
Tfeb Tcfeb
Tfec Tcfec
Nr4a3 Tec
Tns2 Tenc1
Nkx2-1 Titf1
Clrn3 Tmem12
Orai1 Tmem142a
Dolk Tmem15
Tmem150a Tmem150
Fam174a Tmem157
Ano1 Tmem16a
Ano10 Tmem16k
Tmem184c Tmem34
Tmem35a Tmem35
Cnpy2 Tmem4
Shisa2 Tmem46
Ndc1 Tmem48
Vmp1 Tmem49
Saraf Tmem66
Dram2 Tmem77
Pmepa1 Tmepai
Tnnc1 Tnc
Gigyf2 Tnrc15
Celf3 Tnrc4
Rhox8 Tox
Grid2 Tpr
Crlf2 Tpte2
Med20 Trfp
Trp53rkb Trp53rk
Slc46a2 Tscot
Cep41 Tsga14
Eipr1 Tssc1
Tuba1a Tuba1
Tuba1b Tuba2
Tuba3a Tuba3
Tuba3b Tuba7
Nprl2 Tusc4
Tmx2 Txndc14
Ubl4a Ubl4
Sae1 Uble1a
Sun1 Unc84a
Sun2 Unc84b
Uqcr11 Uqcr
Rhbdd2 Usmg1
Vmn1r51 V1ra1
Vmn1r45 V1ra2
Vmn1r50 V1rb1
Vmn1r11 V1rc3
Vmn1r13 V1rc5
Vmn1r15 V1rc6
Vmn1r14 V1rc7
Vmn1r65 V1rd6
Vmn1r171 V1rd7
Vmn2r122 V2R2
Vmn2r10 V2r16
Mitf Vit
Best1 Vmd2
Best2 Vmd2l1
Chmp3 Vps24
Wipf1 Waspip
Tceal9 Wbp5
Eif4h Wbscr1
Rcc1l Wbscr16
Galnt17 Wbscr17
Bud23 Wbscr22
Mettl27 Wbscr27
Dcaf4 Wdr21
Dcaf5 Wdr22
Ciao1 Wdr39
Wrap73 Wdr8
Cfap43 Wdr96
Nsd2 Whsc1
Nsd3 Whsc1l1
Nelfa Whsc2
Amz2 X83328
Pald1 X99384
Gpn1 Xab1
Lyve1 Xlkd1
Gm5169 Xmr
Slc6a20a Xtrp3s1
Cisd1 Zcd1
Dph3 Zcsl2
Dnajc24 Zcsl3
Zeb1 Zfhx1a
Zeb2 Zfhx1b
Zfp638 Zfml
Zscan5b Zfp371
Zfp385a Zfp385
Zkscan17 Zfp496
Adnp2 Zfp508
Zbtb49 Zfp509
Zfp518a Zfp518
Zfp385b Zfp533
Zkscan6 Zfp535
Zfp65 Zfp71-rs1
Zfp85 Zfp85-rs1
Rbsn Zfyve20
Zfp512b Znf512b
Ubr4 Zubr1
